2025-04-12 23:11:01,849 - ERROR - D:\AI\vector\output_dir\output_part_72.json | Line: 2037 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:01,946 - ERROR - D:\AI\vector\output_dir\output_part_73.json | Line: 1789 | Element: 1 | Поле 'Postanovlenie suda apelyacionnoi instancii' заменено на 
2025-04-12 23:11:01,946 - ERROR - D:\AI\vector\output_dir\output_part_73.json | Line: 1789 | Element: 1 | Поле 'Postanovlenie suda apelyacionnoi instancii' слишком короткое (мин. 900 симв.)
2025-04-12 23:11:01,946 - ERROR - D:\AI\vector\output_dir\output_part_73.json | Line: 1789 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:02,018 - ERROR - D:\AI\vector\output_dir\output_part_74.json | Line: 1397 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:02,105 - ERROR - D:\AI\vector\output_dir\output_part_75.json | Line: 1172 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:02,188 - ERROR - D:\AI\vector\output_dir\output_part_76.json | Line: 896 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:02,271 - ERROR - D:\AI\vector\output_dir\output_part_77.json | Line: 1135 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:02,529 - ERROR - D:\AI\vector\output_dir\output_part_80.json | Line: 616 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:02,620 - ERROR - D:\AI\vector\output_dir\output_part_81.json | Line: 1042 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:02,754 - ERROR - D:\AI\vector\output_dir\output_part_83.json | Line: 961 | Element: 1 | Поле 'Postanovlenie suda apelyacionnoi instancii' заменено на 
2025-04-12 23:11:02,755 - ERROR - D:\AI\vector\output_dir\output_part_83.json | Line: 961 | Element: 1 | Поле 'Postanovlenie suda apelyacionnoi instancii' слишком короткое (мин. 900 симв.)
2025-04-12 23:11:02,755 - ERROR - D:\AI\vector\output_dir\output_part_83.json | Line: 961 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:02,843 - ERROR - D:\AI\vector\output_dir\output_part_84.json | Line: 975 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:03,004 - ERROR - D:\AI\vector\output_dir\output_part_86.json | Line: 1048 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:03,084 - ERROR - D:\AI\vector\output_dir\output_part_87.json | Line: 729 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:03,164 - ERROR - D:\AI\vector\output_dir\output_part_88.json | Line: 1302 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:03,254 - ERROR - D:\AI\vector\output_dir\output_part_89.json | Line: 1514 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:03,429 - ERROR - D:\AI\vector\output_dir\output_part_91.json | Line: 1513 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:03,783 - ERROR - D:\AI\vector\output_dir\output_part_95.json | Line: 1121 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:03,863 - ERROR - D:\AI\vector\output_dir\output_part_96.json | Line: 1205 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:04,275 - ERROR - D:\AI\vector\output_dir\output_part_101.json | Line: 2060 | Element: 1 | stock[1] - 'Номер дела': несоответствие формата
2025-04-12 23:11:04,330 - ERROR - D:\AI\vector\output_dir\output_part_102.json | Line: 712 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:04,409 - ERROR - D:\AI\vector\output_dir\output_part_103.json | Line: 751 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:11:04,489 - ERROR - D:\AI\vector\output_dir\output_part_104.json | Line: 1599 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
